example_key,drug_set,condition_id_norm,source_label_binary,source_file,drug_labels,condition_label,mechanism_category,mechanism_confidence,needs_human_review,rationale_short,llm_model,prompt_version,classified_at_utc
CHEBI:230905|CHEBI:6413||MONDO:0000618,"['CHEBI:230905', 'CHEBI:6413']",MONDO:0000618,1,indications,"['Letrozole', 'Ribociclib']",Her2-receptor negative breast cancer,mechanistically_synergistic,0.92,False,Letrozole (aromatase inhibitor) reduces estrogen signaling while ribociclib (CDK4/6 inhibitor) blocks cell-cycle progression; combined therapy is standard for HR+/HER2- breast cancer and provides complementary mechanisms to enhance anti-tumor effect.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:46195|UNII:FZG87K1MQ6||HP:0100607,"['CHEBI:46195', 'UNII:FZG87K1MQ6']",HP:0100607,1,indications,"['pamabrom', 'Acetaminophen']",Dysmenorrhea,common_comorbidity,0.85,False,"Pamabrom is a diuretic used to reduce menstrual bloating/fluid retention, while acetaminophen is an analgesic for pain; they address co-occurring menstrual symptoms rather than a shared mechanistic synergistic effect on dysmenorrhea.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:41879|CHEBI:85155|CHEBI:85157||MONDO:0025598,"['CHEBI:41879', 'CHEBI:85155', 'CHEBI:85157']",MONDO:0025598,1,indications,"['Netupitant', 'palonosetron hydrochloride', 'Dexamethasone']",pneumonia caused by chlamydia,side_effect_relief,0.7,True,Netupitant and palonosetron are antiemetics and dexamethasone is often used as an antiemetic adjunct; this regimen is typical for relieving treatment-related nausea rather than directly treating chlamydial pneumonia.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3485|CHEBI:48947||UMLS:C0856695,"['CHEBI:3485', 'CHEBI:48947']",UMLS:C0856695,1,indications,"['Cefdinir', 'Clavulanic acid']",Acute exacerbation of chronic bronchitis,mechanistically_synergistic,0.9,False,"Clavulanic acid is a beta-lactamase inhibitor that protects beta-lactam antibiotics (like cefdinir) from enzymatic degradation, enhancing antibacterial efficacy against pathogens causing acute exacerbation of chronic bronchitis.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3614|CHEBI:6456|CHEBI:9667||UMLS:C0555971,"['CHEBI:3614', 'CHEBI:6456', 'CHEBI:9667']",UMLS:C0555971,1,indications,"['Triamcinolone', 'Chlorhexidine', 'Lidocaine']",Oral infection,mechanistically_synergistic,0.7,True,"Chlorhexidine is an antiseptic targeting the infection, triamcinolone is a topical corticosteroid reducing local inflammation, and lidocaine provides local analgesia — together they address microbial burden, host inflammation, and pain in oral infections.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:164200|CHEBI:34393|CHEBI:4735||MONDO:0021201,"['CHEBI:164200', 'CHEBI:34393', 'CHEBI:4735']",MONDO:0021201,1,indications,"['Chloroxylenol', 'Triclosan', 'Edetic acid']",skin infection,mechanistically_synergistic,0.85,False,Chloroxylenol and triclosan are topical antiseptics with different bactericidal actions; edetic acid (EDTA) is a chelator that disrupts biofilms/ion-dependent stability and can potentiate antimicrobials. Together they act on complementary mechanisms to treat skin infections.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:29888|CHEBI:78067||MONDO:0006716,"['CHEBI:29888', 'CHEBI:78067']",MONDO:0006716,1,indications,"['Pyrophosphate', 'Stannous chloride']",coronary thrombosis,mechanistically_synergistic,0.85,False,Stannous chloride (reducing agent) and pyrophosphate (ligand) are combined to form Tc-99m pyrophosphate radiotracer that localizes to necrotic myocardium from coronary thrombosis; they act together for the same diagnostic target.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:36773|UNII:2R04ONI662||HP:0410339,"['CHEBI:36773', 'UNII:2R04ONI662']",HP:0410339,1,indications,"['camphor', 'Eucalyptus oil']",Insect bite allergy,mechanistically_synergistic,0.7,False,"Both camphor and eucalyptus oil are topical counterirritant/antipruritic agents that can provide complementary symptomatic relief (reduce itching/inflammation) for insect bite allergy, suggesting additive/parallel mechanisms for the same therapeutic effect.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:33118|CHEBI:33130|CHEBI:36560|UNII:8P5F881OCY||MONDO:0002406,"['CHEBI:33118', 'CHEBI:33130', 'CHEBI:36560', 'UNII:8P5F881OCY']",MONDO:0002406,1,indications,"['Balsam of Peru', 'algeldrate', 'Zinc oxide', 'Boric acid']",dermatitis,other,0.35,True,"Mixed set includes an allergen (Balsam of Peru), an antacid (algeldrate) and topical agents (zinc oxide, boric acid); not a clear mechanistic synergy for dermatitis and appears inconsistent—insufficient/ambiguous information.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:4470|CHEBI:46195|CHEBI:52010|UNII:S3V868548T||MONDO:0005709,"['CHEBI:4470', 'CHEBI:46195', 'CHEBI:52010', 'UNII:S3V868548T']",MONDO:0005709,1,indications,"['chlorphenamine', 'Acetaminophen', 'Terpin hydrate', 'Dextromethorphan']",common cold,mechanistically_synergistic,0.92,False,"Combination includes antihistamine (chlorphenamine), analgesic/antipyretic (acetaminophen), expectorant (terpin hydrate) and antitussive (dextromethorphan) targeting multiple concurrent symptoms/pathways of the common cold for complementary symptomatic relief.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:52010|CHEBI:5779||MONDO:0005709,"['CHEBI:52010', 'CHEBI:5779']",MONDO:0005709,1,indications,"['Hydrocodone', 'chlorphenamine']",common cold,mechanistically_synergistic,0.9,False,"Hydrocodone (opioid antitussive) and chlorphenamine (first‑generation antihistamine) target different symptom pathways of the common cold (cough suppression and rhinorrhea/allergic symptoms), providing complementary therapeutic effects.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:47381|CHEBI:8768||MONDO:0008383,"['CHEBI:47381', 'CHEBI:8768']",MONDO:0008383,1,indications,"['Diclofenac', 'Rabeprazole']",rheumatoid arthritis,side_effect_relief,0.9,False,Diclofenac is an NSAID used to treat RA symptoms; rabeprazole is a PPI used to prevent/treat NSAID-induced gastrointestinal toxicity rather than directly treating RA.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:44185|CHEBI:4875||MONDO:0008383,"['CHEBI:44185', 'CHEBI:4875']",MONDO:0008383,1,indications,"['Etanercept', 'Methotrexate']",rheumatoid arthritis,mechanistically_synergistic,0.92,False,Etanercept (anti-TNF biologic) plus methotrexate (conventional DMARD) are commonly combined in RA to provide additive disease-modifying effects; methotrexate also reduces immunogenicity and improves biologic efficacy.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
